prices
727.6319759
168.78
94.30735631
128.4551869
17.45983852
269.1758711
34.87531459
189.9735659
235.8779425
641.2571518
572.55
350.8914027
404.9138551
198.3965863
741.6179233
399.9226732
2425.5
48.31462149
245
109.63
36.87918642
1286.458
3.744882568
81.90244474
1491.035
87.69044831
99.46563945
66.83104209
69.23415187
43.31081359
129.2533937
102.9136
16.30105458
1538.459
720.2636049
36.46746813
